Image Link,Filename,Painting Title,Artist Name,Artist Filename,Painting Year,Artist Location/Birthplace,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Main Color(s),Palette Source,Artist Birth Date,Genre/Style,Painting Period,color harmony
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,Breton_Church.jpg,Breton Church,Emily Carr,emily-carr.png,1906,Canada (source),#3d6533,#1b3728,#e7ad30,#953010,#7e6c22,#b19e2f,#9f9895,#1f2e5,"green, yellow-green, red, blue, yellow",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/totem-walk-at-sitka-1907,totem-walk-at-sitka-1907.jpg,Totem Walk at Sitka,Emily Carr,,1907,Alaska (on a voyage to Alaska),#485b3f,#647b60,#527d49,#305d80,#96b0b3,#aa5443,#504233,#887d44,"green, brown, gray, blue, red, white/ gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/brittany-landscape-1911,brittany-landscape-1911.jpg,Brittany Landscape,Emily Carr,,1911,France,#91b849,#3f473a,#9f6f6f,#d95a7f,#86afc6,#2f4773,#bfac10,#5e190,"green, pink, blue, dark red/ brown, yellow-green",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/indian-house-interior-with-totems-1912,indian-house-interior-with-totems-1912.jpg,Indian House Interior with Totems,Emily Carr,,1912,Canada,#cd8972,#aa3919,#3f191b,#72827a,#202c39,#7d7d7e,#60733d,#a1815a,"red, blue, brown, green, gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/chemainus-bay-vancouver-island-1925,chemainus-bay-vancouver-island-1925.jpg,"Chemainus Bay, Vancouver Island",Emily Carr,,1925,Canada,#145154,#b3c3c0,#745d3e,#658248,#367757,#ad4238,#bd7123,#dedfc0,"green, blue, red, yellow, white/ gray",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/thunder-bird-campbell-river-1929,thunder-bird-campbell-river-1929.jpg,"Thunder Bird, Campbell River",Emily Carr,,1929,Canada,#e2a3f,#908945,#74d67,#68a850,#80685e,#d0cf8f,#773c2c,#03a3b,"gree, blue, brown, red, yellow",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,a-rushing-sea-of-undergrowth-1935.jpg,A Rushing Sea of Undergrowth,Emily Carr,,1935,possibly Canada,#70894f,#353a36,#ac9f47,#673026,#e2dede,#95a86c,#6b65ad,#494078,"green, blue, brown, white",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://artoutthewazoo.wordpress.com/2012/05/27/emily-carr-post-impressionism-and-the-something-plus/,self-portrait-1939.jpg,Self-Portrait,Emily Carr,,1939,possibly Canada,#eac479,#453839,#746f65,#33519a,#606470,#d8d9ce,#775c38,#ad9a9c,"yellow, brown, blue, white",IMAGECOLORPICKER.com,"December 13, 1871",Post-Impressionism,Post-Impressionism,
https://www.wikiart.org/en/emily-carr/kitwancool-1928,kitwancool-1928.jpg!Large.jpg,Kitwancool,Emily Carr,,1928,"Vancouver, Canada",#3e4544,#bac1b5,#85aca9,#7e7f7b,#3a657b,#50837b,#a4c39,#6797a5,,IMAGECOLORPICKER.com,,,,
https://www.wikiart.org/en/emily-carr/kispiax-village-1929,kispiax-village-1929.jpg,Kispiax Village,Emily Carr,,1929,Canada,#334045,#a95d3b,#bca06e,#95a878,#5d9f3b,#28483d,#41596f,#789496,,IMAGECOLORPICKER.com,,,,
https://www.wikiart.org/en/paul-cezanne/forest,Forest.jpg,Forest,Paul Cezanne,paul-cezanne.jpg,1890,"Aix-en-Provence, France",#d3e0a7,#526a64,#9dcb94,#1e2323,#8ea7d0,#73a783,#96ab8d,#394229,green,IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/four-bathers-1,Four_Bathers.jpg,Four Bathers,Paul Cezanne,,1890,"Aix-en-Provence, France",#b8a88c,#322920,#8f8168,#6a7060,#64563c,#a2a59d,#838b9e,#4f5034,"green, beige",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/gardanne-1890,Gardanne.jpg,Gardanne,Paul Cezanne,,1890,"Aix-en-Provence, France",#3a553e,#a09455,#c1c0be,#ddd87c,#607b52,#7c3d2c,#dea856,#9d9f97,"green, orange",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/harlequin-1890,Harlequin.jpg,Harlequin,Paul Cezanne,,1890,"Aix-en-Provence, France",#60647f,#762917,#6c80b1,#bb2925,#1b0c15,#614c41,#95625e,#572841,"blue, red",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/house-with-red-roof-1890,House_with_Red_Roof.jpg,House with Red Roof,Paul Cezanne,,1890,"Aix-en-Provence, France",#466150,#dac4a0,#a29e78,#9ab0ba,#b6c5ba,#16211f,#749a68,#74918b,green,IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/madame-cezanne-in-a-yellow-chair,Madame_Cezanne_in_a_Yellow_Chair.jpg,Madame Cezanne in a Yellow Chair,Paul Cezanne,,1890,"Aix-en-Provence, France",#805739,#cfa26d,#8e8e92,#1d1410,#b0aa9f,#847f77,#471c12,#413d30,"red, yellow, gray",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/madame-cezanne-in-blue-1890,Madame_Cezanne_in_Blue.jpg,Madame Cezanne in Blue,Paul Cezanne,,1890,"Aix-en-Provence, France",#776c5a,#c7af9a,#a5a5ab,#3f251e,#21110f,#aaa695,#94918d,#5d3921,"red, blue, green",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/madame-cezanne-with-a-yellow-armchair,Madame_Cezanne_with_a_Yellow_Armchair.jpg,Madame Cezanne with a Yellow Armchair,Paul Cezanne,,1890,"Aix-en-Provence, France",#dbbe6d,#9b6247,#6e8170,#a6ad80,#774238,#536666,#c14f3b,#909895,"red, blue, green, orange",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/man-in-a-room-1890,Man_in_a_Room.jpg,Man in a Room,Paul Cezanne,,1890,"Aix-en-Provence, France",#554f38,#c79957,#819392,#1a1a0d,#997e4f,#677674,#95a696,#34200a,blue,IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-1890,Mont_Sainte_Victoire.jpg,Mont Saint-Victoire,Paul Cezanne,,1890,"Aix-en-Provence, France",#90806a,#2b2515,#6c5222,#49311e,#c69b61,#544e3d,#69513e,#b9afa7,"green, brown",IMAGECOLORPICKER.com,"January 19, 1839",Post-Impressionism,Mature Period,
https://www.wikiart.org/en/paul-gauguin/when-are-you-getting-married-1892,When Will You Marry Paul Gauguin.jpg,When Will You Marry?,Paul Gauguin,paul-gauguin.jpg,1882,French Polynesia,#a36f2d,#183813,#c4c1a7,#828b96,#9f1ea,#bc8622,#d67c42,#6b7f2f,"red, green, blue, yellow, brown",IMAGECOLORPICKER.com,"June 7, 1848",Cloisonnism (style of Post Impressionism),Post-Impressionism,
https://www.wikiart.org/en/paul-gauguin/view-of-pont-aven-from-lezaven-1888,View_of_Pont-Aven_from_Lezaven.jpg,View of Pont Aven from Lezaven,Paul Gauguin,,1888,France,#caa564,#5e4f1b,#a1743b,#242511,#75821f,#5b1f09,#afa67b,#a6977f,"green, red",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/washerwomen-1888,Washerwomen.jpg,Washerwomen,Paul Gauguin,,1888,France,#624f3c,#cb6545,#192018,#a0694b,#8a8480,#a9b0ad,#939da8,#4f1f0f,"red, blue",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/washerwomen-at-roubine-du-roi-1888,Washerwomen_at_Roubine_du_Roi.jpg,Washerwomen at Roubine du Roi,Paul Gauguin,,1888,France,#655a35,#cdab63,#1c201a,#a6803e,#909475,#472612,#aeb78a,#8b8e5c,"green, blue, yellow",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/where-do-we-come-from-what-are-we-where-are-we-going-1897,where-do-we-come-from-what-are-we-where-are-we-going.jpg,Where Do We Come From? What Are We? Where Are We Going?,Paul Gauguin,,1898,France,#35312a,#c6aa65,#8d6e3f,#7791a5,#526673,#664f33,#94b2bd,#ac4c24,green,IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/young-woman-at-the-window-1888,Young_Woman_at_the_Window.jpg,Young Woman at the Window,Paul Gauguin,,1888,France,#c6a574,#281d1b,#763a1e,#995e22,#d9d4c4,#725b4a,#e5d7a5,#9c6440,"yellow, black, brown",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/night-cafe-in-arles-madame-ginoux-1888,Night_Cafe_in_Arles.jpg,Night Cafe in Arles (Madame Ginoux),Paul Gauguin,,1888,France,#8c6735,#dadcb5,#dc502a,#a0a8a8,#8f907e,#c62a15,#a7a048,#4b9c27,"red, green, orange, beige",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/paul-gauguin/the-wave-1888,The_Wave.jpg,The Wave,Paul Gauguin,,1888,France,#b89e71,#2a2220,#be3725,#efdba7,#eae2d0,#c6b9a5,#b45b2e,#706f5e,"yellow, red, black",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/bonjour-monsieur-gauguin-1889,Bonjour_Monsieur_Gauguin.jpg,"Bonjour, Monsieur Gauguin",Paul Gauguin,,1889,France,#334138,#cbac6f,#9f8241,#3a6480,#7c97ab,#775c28,#788966,#abb7a3,"green, yellow, blue ",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/paul-gauguin/breton-boy-in-a-landscape-with-goose-1889,Breton_Boy_in_a_Landscape_with_Goose.jpg,Breton Boy in a Landscape with Goose,Paul Gauguin,,1889,France,#885d1f,#333a1f,#b3a49e,#8f8374,#d9c9b9,#a69b25,#83250b,#ce8931,"green, red",IMAGECOLORPICKER.com,"June 7, 1848",Post-Impressionism,Breton Period,
https://www.wikiart.org/en/meijer-de-haan/self-portrait-in-breton-costume-1889,Self_Portrait_in_Breton_Costume.jpg,Self-portrait in Breton Costume,Meijer de Haan,meijer-de-hann.jpg,1889,"Amsterdam, Netherlands",#4e3030,#e3bf96,#935845,#65505f,#190f1f,#7a645c,#b65038,#9a8291,"red, purple",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/still-life-with-ham-1889,Still_Life_with_Ham.jpeg,Still Life with Ham,Meijer de Haan,,1889,"Amsterdam, Netherlands",#d1a67e,#443b2b,#90523d,#9eb596,#161a17,#6a7a66,#bd3c23,#4a626b,"green, red",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/lilacs-in-a-glass-apple-and-lemon-1890,Lilacs_in_a_Glass.jpg,"Lilacs in a Glass, Apple and Lemon",Meijer de Haan,,1890,"Amsterdam, Netherlands",#231b1c,#dec9be,#793e3e,#7e6a70,#a67e80,#79614e,#faf2e5,#b3997f,"beige, purple, black",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/maternity-mary-henry-breastfeeding-1890,Maternity.jpeg,Maternity: Mary Henry Breastfeeding,Meijer de Haan,,1890,"Amsterdam, Netherlands",#de9833,#27211c,#966027,#614429,#887d7c,#6f6653,#ae9f61,#ce361b,"orange, black",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/nature-morte-pichet-et-oignons-1890,Nature_Morte.jpeg,"Nature morte, Pichet et Oignons",Meijer de Haan,,1890,"Amsterdam, Netherlands",#a75933,#c97c46,#a78857,#2f302b,#d5b37c,#6c635f,#a89987,#471909,orange,IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/still-life-with-a-profile-of-mimi-1890,Still_Life_with_a_Profile_of_Mimi.jpg,Still Life with a Profile of Mimi,Meijer de Haan,,1890,"Amsterdam, Netherlands",#5b6354,#95836f,#26433e,#a0ae9f,#b89a7c,#592822,#7a9084,#594121,"blue, green",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/self-portrait-1891,Self_Portrait.jpg,Self-Portrait,Meijer de Haan,,1891,"Amsterdam, Netherlands",#c1943f,#aabccc,#583010,#525832,#e6d749,#746539,#c8501f,#bfa987,"yellow, red, blue",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/a-bunch-of-garlic-and-a-pewter-tankard,A_Bunch_of_Garlic.jpeg,A Bunch of Garlic and a Pewter Tankard,Meijer de Haan,,(Unknown),"Amsterdam, Netherlands",#544423,#c79f54,#251f15,#837853,#90866d,#a5813c,#845e25,#b09d63,"brown, gray",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/meijer-de-haan/still-life-pit-onions-bread-and-green-apples,Still_Life_Pit.jpg,"Still Life: Pit, Onions, Bread and Green Apples",Meijer de Haan,,(Unknown),"Amsterdam, Netherlands",#3f2614,#b77a43,#90582f,#9b876d,#160e0b,#6e3417,#736348,#837577,"red, brown",IMAGECOLORPICKER.com,"April 14, 1852",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/blossoming-almonds-landscape-in-italy-1902,Blossoming_Almonds.jpg,Blossoming Almonds (Landscape in Italy),Tivadar Kosztka Csontvary,tivadar-kosztka-csontvary.png,1902,"Kisszeben, Hungary",#ebe8e2,#39251e,#bd9872,#906145,#9d845a,#6f4e36,#bca9a1,#7b6c64,brown,IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/castellamare-di-stabia-1902,Castellamare.jpeg,Castellamare di Stabia,Tivadar Kosztka Csontvary,,1902,"Kisszeben, Hungary",#cfd1cc,#322628,#7e6448,#7e9ba7,#7e7970,#c7a77b,#566a68,#a1a2a6,"blue, beige ",IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/town-at-the-seashore-1902,Town_at_the_Seashore.jpg,Town at the Seashore,Tivadar Kosztka Csontvary,,1902,"Kisszeben, Hungary",#745b4c,#3d2929,#c2cdeb,#b79c89,#686a88,#7388af,#515976,#8797c5,blue,IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/roman-bridge-at-mostar-1903,Roman_Bridge_at_Mostar.jpg,Roman Bridge at Mostar,Tivadar Kosztka Csontvary,,1903,"Kisszeben, Hungary",#676461,#e5cbbd,#292524,#372a29,#aa9283,#a297ba,#45362a,#b1b7b7,"blue, black, purple, white",IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/springtime-in-mostar-1903,Springtime_in_Mostar.jpg,Springtime in Mostar,Tivadar Kosztka Csontvary,,1903,"Kisszeben, Hungary",#6a6b6b,#d5d2d1,#1e333c,#b6c2c4,#a89689,#a4aaba,#4d2e30,#604131,"blue, gray, red",IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/waterfall-at-jajce-1903,Waterfall_at_Jajce.jpeg,Waterfall at Jajce,Tivadar Kosztka Csontvary,,1903,"Kisszeben, Hungary",#cdc2b3,#3f3932,#87806b,#a9947c,#7a634d,#62614d,#9a94b1,#5f5d76,green,IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/street-in-athen-1904,Street_in_Athens.jpg,Street in Athens,Tivadar Kosztka Csontvary,,1904,"Kisszeben, Hungary",#d2c5b7,#413c32,#b6a98d,#aa9276,#837d76,#7e795a,#7c6148,#61605a,"blue, red, beige",IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/the-small-taormin-1904,The_Small_Taormin.jpg,The Small Taormin,Tivadar Kosztka Csontvary,,1904,"Kisszeben, Hungary",#aa6950,#ebe5e0,#3c2522,#674136,#602923,#cc9e8b,#e0966f,#c1a8b2,red,IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/the-mount-of-olives-in-jerusalem-1905,The_Mount_of_Olives.jpg,The Mount of Olives in Jerusalem,Tivadar Kosztka Csontvary,,1905,"Kisszeben, Hungary",#9ca6a1,#231c1e,#e4d4b9,#5a443f,#725949,#7b6a67,#606782,#b9d6c6,"blue, beige",IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/tivadar-kosztka-csontvary/view-of-the-dead-sea-from-the-temple-square-in-jerusalem-1905,View_of_the_Dead_Sea.jpg,View of the Dead Sea from the Temple Square in Jerusalem,Tivadar Kosztka Csontvary,,1905,"Kisszeben, Hungary",#e5d8cc,#622f29,#85533e,#9f6757,#ba886b,#c39b86,#666577,#94909c,red,IMAGECOLORPICKER.com,"July 5, 1853",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/bulgarian-woman-from-smilevo-1931,Bulgarian_Woman.jpg,Bulgarian Woman from Smilevo,Ivan Mrkviсka,ivan-mrkvicka.png,1931,Czech Republic,#8e614d,#ded392,#a6a161,#d5884b,#85262b,#375143,#989a8a,#5d5b49,"red, green",IMAGECOLORPICKER.com,"April 23, 1856",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/portrait-of-a-woman,Portrait_of_a_Woman.jpg,Portrait of a Woman,Ivan Mrkviсka,,(Unknown),Czech Republic,#d7a57c,#34140e,#725d41,#906e4b,#6b2a1b,#ab946f,#a78b7c,#534a44,"red, brown",IMAGECOLORPICKER.com,"April 23, 1856",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/kids-eating-grapes,Kids_Eating_Grapes.jpg,Kids Eating Grapes,Ivan Mrkviсka,,(Unknown),Czech Republic,#d5bb9c,#29221e,#825a46,#5f3f2f,#96908e,#9b9c8e,#676857,#a74d3f,"brown, black",IMAGECOLORPICKER.com,"April 23, 1856",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/portrait-of-the-artists-son,Portrait_of_the_Artists_Son.jpg,Portrait of the Artist's Son,Ivan Mrkviсka,,(Unknown),Czech Republic,#848984,#212323,#543e32,#42312a,#426864,#674b40,#c0bbb2,#b3bcb5,"blue, brown, white",IMAGECOLORPICKER.com,"April 23, 1856",Post-Impressionism,(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/bulgarian-woman-from-macedonia,Bulgarian_Woman_from_Macedonia.jpg,Bulgarian Woman from Macedonia,Ivan Mrkviсka,,(Unknown),Czech Republic,#804b3f,#c7b498,#a1957e,#b15b4a,#8c796d,#d19479,#3f2826,#b0a39c,red,IMAGECOLORPICKER.com,"April 23, 1856","Post-Impressionism, Impressionism",(Unknown),
https://www.wikiart.org/en/ivan-mrkvicka/mladezhki-cherven-krst,edd-3257.jpg!Large.jpg,Youth Red Cross,Ivan Mrkviсka,,1920,Bulgaria,#584c44,#ca6d58,#14181d,#99917e,#a9ad9f,#cac8b8,#9a6a4f,#7b7777,,IMAGECOLORPICKER.com,,,,
